Tiempo(ms),RPM
6006,0.00
6010,0.00
6014,0.00
6018,0.00
6022,0.00
6026,0.00
6030,0.00
6034,0.00
6038,0.00
6042,0.00
6046,0.00
6050,0.00
6054,0.00
6058,0.00
6062,0.00
6066,0.00
6070,0.00
6074,750.00
6078,0.00
6082,0.00
6086,0.00
6090,0.00
6094,0.00
6098,0.00
6102,0.00
6106,0.00
6110,0.00
6114,0.00
6118,0.00
6122,0.00
6126,0.00
6130,750.00
6134,0.00
6138,0.00
6142,0.00
6146,0.00
6150,0.00
6154,0.00
6158,1500.00
6162,0.00
6166,0.00
6170,0.00
6174,750.00
6178,0.00
6182,0.00
6186,0.00
6190,0.00
6194,750.00
6198,0.00
6202,0.00
6206,0.00
6210,750.00
6214,0.00
6218,0.00
6222,0.00
6226,750.00
6230,0.00
6234,0.00
6238,750.00
6242,0.00
6246,0.00
6250,750.00
6254,0.00
6258,0.00
6262,0.00
6266,750.00
6270,0.00
6274,0.00
6278,750.00
6282,0.00
6286,0.00
6290,0.00
6294,750.00
6298,0.00
6302,750.00
6306,0.00
6310,0.00
6314,750.00
6318,0.00
6322,0.00
6326,750.00
6330,0.00
6334,0.00
6338,750.00
6342,0.00
6346,750.00
6350,0.00
6354,0.00
6358,750.00
6362,0.00
6366,750.00
6370,0.00
6374,0.00
6378,750.00
6382,0.00
6386,750.00
6390,0.00
6394,750.00
6398,0.00
6402,0.00
6406,750.00
6410,0.00
6414,750.00
6418,0.00
6422,0.00
6426,750.00
6430,0.00
6434,750.00
6438,0.00
6442,750.00
6446,0.00
6450,750.00
6454,0.00
6458,750.00
6462,0.00
6466,750.00
6470,0.00
6474,750.00
6478,0.00
6482,750.00
6486,0.00
6490,750.00
6494,0.00
6498,750.00
6502,750.00
6506,0.00
6510,750.00
6514,0.00
6518,750.00
6522,0.00
6526,750.00
6530,750.00
6534,0.00
6538,750.00
6542,0.00
6546,750.00
6550,750.00
6554,0.00
6558,750.00
6562,0.00
6566,750.00
6570,750.00
6574,0.00
6578,750.00
6582,0.00
6586,750.00
6590,750.00
6594,0.00
6598,750.00
6602,750.00
6606,0.00
6610,750.00
6614,0.00
6618,750.00
6622,750.00
6626,750.00
6630,0.00
6634,750.00
6638,750.00
6642,0.00
6646,750.00
6650,750.00
6654,0.00
6658,750.00
6662,750.00
6666,0.00
6670,750.00
6674,750.00
6678,750.00
6682,0.00
6686,750.00
6690,750.00
6694,0.00
6698,750.00
6702,750.00
6706,750.00
6710,0.00
6714,750.00
6718,750.00
6722,0.00
6726,750.00
6730,750.00
6734,750.00
6738,750.00
6742,0.00
6746,750.00
6750,750.00
6754,750.00
6758,750.00
6762,0.00
6766,750.00
6770,750.00
6774,750.00
6778,0.00
6782,750.00
6786,750.00
6790,750.00
6794,750.00
6798,0.00
6802,750.00
6806,750.00
6810,750.00
6814,750.00
6818,750.00
6822,0.00
6826,750.00
6830,750.00
6834,750.00
6838,750.00
6842,750.00
6846,750.00
6850,0.00
6854,750.00
6858,750.00
6862,750.00
6866,750.00
6870,750.00
6874,750.00
6878,750.00
6882,0.00
6886,750.00
6890,750.00
6894,750.00
6898,750.00
6902,750.00
6906,750.00
6910,750.00
6914,0.00
6918,750.00
6922,750.00
6926,750.00
6930,750.00
6934,750.00
6938,750.00
6942,750.00
6946,750.00
6950,750.00
6954,750.00
6958,750.00
6962,0.00
6966,750.00
6970,750.00
6974,750.00
6978,750.00
6982,750.00
6986,750.00
6990,750.00
6994,750.00
6998,750.00
7002,750.00
7006,750.00
7010,750.00
7014,0.00
7018,750.00
7022,750.00
7026,750.00
7030,750.00
7034,750.00
7038,750.00
7042,750.00
7046,750.00
7050,750.00
7054,750.00
7058,750.00
7062,750.00
7066,750.00
7070,750.00
7074,750.00
7078,750.00
7082,750.00
7086,750.00
7090,750.00
7094,750.00
7098,750.00
7102,750.00
7106,750.00
7110,750.00
7114,750.00
7118,750.00
7122,750.00
7126,750.00
7130,750.00
7134,750.00
7138,750.00
7142,750.00
7146,750.00
7150,750.00
7154,750.00
7158,750.00
7162,750.00
7166,750.00
7170,750.00
7174,750.00
7178,750.00
7182,750.00
7186,750.00
7190,750.00
7194,750.00
7198,750.00
7202,750.00
7206,750.00
7210,750.00
7214,750.00
7218,750.00
7222,750.00
7226,750.00
7230,750.00
7234,750.00
7238,750.00
7242,750.00
7246,750.00
7250,750.00
7254,750.00
7258,750.00
7262,750.00
7266,750.00
7270,750.00
7274,750.00
7278,1500.00
7282,750.00
7286,750.00
7290,750.00
7294,750.00
7298,750.00
7302,750.00
7306,750.00
7310,750.00
7314,750.00
7318,750.00
7322,750.00
7326,750.00
7330,750.00
7334,750.00
7338,750.00
7342,1500.00
7346,750.00
7350,750.00
7354,750.00
7358,750.00
7362,750.00
7366,750.00
7370,750.00
7374,750.00
7378,750.00
7382,750.00
7386,750.00
7390,750.00
7394,750.00
7398,1500.00
7402,750.00
7406,750.00
7410,750.00
7414,750.00
7418,750.00
7422,750.00
7426,750.00
7430,750.00
7434,1500.00
7438,750.00
7442,750.00
7446,750.00
7450,750.00
7454,750.00
7458,750.00
7462,750.00
7466,750.00
7470,750.00
7474,1500.00
7478,750.00
7482,750.00
7486,750.00
7490,750.00
7494,750.00
7498,750.00
7502,750.00
7506,1500.00
7510,750.00
7514,750.00
7518,750.00
7522,750.00
7526,750.00
7530,750.00
7534,750.00
7538,750.00
7542,750.00
7546,1500.00
7550,750.00
7554,750.00
7558,750.00
7562,750.00
7566,750.00
7570,1500.00
7574,750.00
7578,750.00
7582,750.00
7586,750.00
7590,750.00
7594,750.00
7598,750.00
7602,750.00
7606,1500.00
7610,750.00
7614,750.00
7618,750.00
7622,750.00
7626,750.00
7630,750.00
7634,1500.00
7638,750.00
7642,750.00
7646,750.00
7650,750.00
7654,750.00
7658,750.00
7662,1500.00
7666,750.00
7670,750.00
7674,750.00
7678,750.00
7682,750.00
7686,750.00
7690,1500.00
7694,750.00
7698,750.00
7702,750.00
7706,750.00
7710,750.00
7714,1500.00
7718,750.00
7722,750.00
7726,750.00
7730,750.00
7734,750.00
7738,750.00
7742,1500.00
7746,750.00
7750,750.00
7754,750.00
7758,750.00
7762,750.00
7766,1500.00
7770,750.00
7774,750.00
7778,750.00
7782,750.00
7786,1500.00
7790,750.00
7794,750.00
7798,750.00
7802,750.00
7806,750.00
7810,750.00
7814,1500.00
7818,750.00
7822,750.00
7826,750.00
7830,750.00
7834,1500.00
7838,750.00
7842,750.00
7846,750.00
7850,750.00
7854,750.00
7858,1500.00
7862,750.00
7866,750.00
7870,750.00
7874,750.00
7878,750.00
7882,1500.00
7886,750.00
7890,750.00
7894,750.00
7898,750.00
7902,1500.00
7906,750.00
7910,750.00
7914,750.00
7918,750.00
7922,750.00
7926,1500.00
7930,750.00
7934,750.00
7938,750.00
7942,750.00
7946,750.00
7950,1500.00
7954,750.00
7958,750.00
7962,750.00
7966,750.00
7970,1500.00
7974,750.00
7978,750.00
7982,750.00
7986,1500.00
7990,750.00
7994,750.00
7998,750.00
8002,750.00
8006,750.00
8010,1500.00
8014,750.00
8018,750.00
8022,1500.00
8026,750.00
8030,1500.00
8034,750.00
8038,1500.00
8042,750.00
8046,1500.00
8050,1500.00
8054,750.00
8058,1500.00
8062,1500.00
8066,1500.00
8070,750.00
8074,1500.00
8078,1500.00
8082,1500.00
8086,1500.00
8090,1500.00
8094,1500.00
8098,1500.00
8102,1500.00
8106,2250.00
8110,1500.00
8114,1500.00
8118,1500.00
8122,2250.00
8126,1500.00
8130,1500.00
8134,2250.00
8138,1500.00
8142,1500.00
8146,2250.00
8150,1500.00
8154,2250.00
8158,2250.00
8162,1500.00
8166,2250.00
8170,1500.00
8174,2250.00
8178,2250.00
8182,2250.00
8186,2250.00
8190,1500.00
8194,2250.00
8198,2250.00
8202,2250.00
8206,2250.00
8210,2250.00
8214,2250.00
8218,2250.00
8222,2250.00
8226,2250.00
8230,2250.00
8234,2250.00
8238,2250.00
8242,3000.00
8246,2250.00
8250,2250.00
8254,2250.00
8258,3000.00
8262,2250.00
8266,2250.00
8270,3000.00
8274,2250.00
8278,3000.00
8282,2250.00
8286,3000.00
8290,2250.00
8294,3000.00
8298,2250.00
8302,3000.00
8306,3000.00
8310,2250.00
8314,3000.00
8318,3000.00
8322,2250.00
8326,3000.00
8330,3000.00
8334,3000.00
8338,3000.00
8342,2250.00
8346,3000.00
8350,3000.00
8354,3000.00
8358,3000.00
8362,3000.00
8366,3000.00
8370,3000.00
8374,3000.00
8378,3000.00
8382,3000.00
8386,3750.00
8390,3000.00
8394,3000.00
8398,3000.00
8402,3000.00
8406,3750.00
8410,3000.00
8414,3000.00
8418,3000.00
8422,3750.00
8426,3000.00
8430,3000.00
8434,3750.00
8438,3000.00
8442,3750.00
8446,3000.00
8450,3750.00
8454,3000.00
8458,3750.00
8462,3000.00
8466,3750.00
8470,3000.00
8474,3750.00
8478,3750.00
8482,3000.00
8486,3750.00
8490,3750.00
8494,3000.00
8498,3750.00
8502,3750.00
8506,3750.00
8510,3000.00
8514,3750.00
8518,3750.00
8522,3750.00
8526,3750.00
8530,3750.00
8534,3750.00
8538,3000.00
8542,3750.00
8546,4500.00
8550,3000.00
8554,3750.00
8558,3750.00
8562,4500.00
8566,3750.00
8570,3750.00
8574,3750.00
8578,3750.00
8582,3750.00
8586,3750.00
8590,3750.00
8594,4500.00
8598,3750.00
8602,3750.00
8606,3750.00
8610,4500.00
8614,3750.00
8618,3750.00
8622,4500.00
8626,3750.00
8630,3750.00
8634,4500.00
8638,3750.00
8642,3750.00
8646,4500.00
8650,3750.00
8654,4500.00
8658,3750.00
8662,4500.00
8666,3750.00
8670,4500.00
8674,3750.00
8678,4500.00
8682,4500.00
8686,3750.00
8690,4500.00
8694,3750.00
8698,4500.00
8702,4500.00
8706,3750.00
8710,4500.00
8714,4500.00
8718,3750.00
8722,4500.00
8726,4500.00
8730,4500.00
8734,3750.00
8738,4500.00
8742,4500.00
8746,4500.00
8750,4500.00
8754,4500.00
8758,4500.00
8762,3750.00
8766,4500.00
8770,4500.00
8774,4500.00
8778,4500.00
8782,4500.00
8786,4500.00
8790,4500.00
8794,4500.00
8798,4500.00
8802,4500.00
8806,4500.00
8810,4500.00
8814,5250.00
8818,4500.00
8822,4500.00
8826,4500.00
8830,4500.00
8834,4500.00
8838,4500.00
8842,5250.00
8846,4500.00
8850,4500.00
8854,4500.00
8858,5250.00
8862,4500.00
8866,4500.00
8870,5250.00
8874,4500.00
8878,4500.00
8882,4500.00
8886,5250.00
8890,4500.00
8894,4500.00
8898,5250.00
8902,4500.00
8906,5250.00
8910,4500.00
8914,5250.00
8918,4500.00
8922,5250.00
8926,4500.00
8930,4500.00
8934,5250.00
8938,4500.00
8942,5250.00
8946,4500.00
8950,5250.00
8954,4500.00
8958,5250.00
8962,5250.00
8966,4500.00
8970,5250.00
8974,5250.00
8978,4500.00
8982,5250.00
8986,5250.00
8990,4500.00
8994,5250.00
8998,5250.00
9002,5250.00
9006,4500.00
9010,5250.00
9014,5250.00
9018,5250.00
